Lat,Lon,cluster
40.7305,-74.0047,0
40.7398,-74.0005,0
40.7677,-73.981,3
40.7684,-73.9892,3
40.6382,-73.9568,0
40.7476,-73.9831,3
40.7408,-74.0055,0
40.744,-73.9746,3
40.7081,-74.0082,0
40.7524,-73.9817,3
40.7267,-73.9996,0
40.7255,-73.993,0
40.6869,-73.9988,0
40.7522,-73.9956,3
40.7716,-73.8666,1
40.726,-73.9917,0
40.7237,-73.9965,0
40.7636,-73.9794,3
40.7441,-73.9814,3
40.7457,-74.0056,0
40.7166,-74.01,0
40.7708,-73.8658,1
40.7278,-74.0055,0
40.7685,-73.9496,3
40.7281,-73.993,0
40.7411,-73.9882,0
40.7806,-73.98,3
40.7126,-74.0092,0
40.6995,-73.953,0
40.7158,-73.962,0
40.7652,-73.9306,3
40.774,-73.8725,1
40.7111,-74.0054,0
40.7198,-74.0042,0
40.705,-74.0073,0
40.7394,-73.9825,0
40.7191,-74.0339,0
40.7643,-73.9709,3
40.7467,-73.992,3
40.7096,-74.0065,0
40.7408,-74.0078,0
40.7441,-74.0066,0
40.7521,-73.9772,3
40.7782,-73.9848,3
40.7455,-73.994,3
40.7076,-74.0102,0
40.7545,-73.9697,3
40.7217,-73.9946,0
40.7415,-73.9783,3
40.7723,-73.9671,3
40.7025,-74.0117,0
40.8026,-73.9471,3
40.7211,-73.9829,0
40.7377,-73.9882,0
40.7106,-74.0097,0
40.7926,-73.969,3
40.7721,-73.9631,3
40.7558,-73.9835,3
40.664,-73.9917,0
40.7191,-73.9999,0
40.7909,-73.9764,3
40.7297,-73.8905,1
40.7757,-73.9831,3
40.6217,-73.9291,0
40.678,-74.0171,0
40.7515,-73.987,3
40.7558,-73.974,3
40.7637,-73.9961,3
40.6907,-73.9579,0
40.757,-73.549,4
40.7277,-73.9793,0
40.7047,-74.0099,0
40.7605,-73.9875,3
40.7551,-73.9838,3
40.6696,-73.948,0
40.749,-73.9753,3
40.7296,-74.003,0
40.7579,-73.964,3
40.6809,-73.9806,0
40.7611,-73.9975,3
40.7573,-73.9717,3
40.8063,-73.9592,3
40.7345,-73.9858,0
40.7671,-73.9796,3
40.7574,-73.9742,3
