Lat,Lon,cluster
40.6713,-73.9577,0
40.7349,-74.006,0
40.7293,-74.0037,0
40.744,-74.0068,0
40.7284,-73.9997,0
40.743,-73.9909,0
40.7428,-74.0077,0
40.7436,-74.0033,0
40.7739,-73.9585,3
40.3082,-74.1148,2
40.7114,-73.9886,0
40.7246,-73.9848,0
40.7571,-73.9776,3
40.642,-73.7887,4
40.7456,-73.9989,0
40.7501,-73.9912,3
40.7389,-74.0081,0
40.7283,-73.9996,0
40.7369,-74.0036,0
40.7355,-73.9944,0
40.7176,-73.9963,0
40.7636,-73.9637,3
40.7236,-74.0095,0
40.7555,-73.975,3
40.74,-74.0058,0
40.7312,-74.0089,0
40.7739,-73.9645,3
40.6931,-73.9874,0
40.6893,-73.9868,0
40.7403,-73.9947,0
40.7442,-73.9855,3
40.7503,-73.9773,3
40.7394,-74.0068,0
40.7585,-73.9708,3
40.7127,-74.0091,0
40.7535,-73.9851,3
40.7225,-74.0038,0
40.7278,-73.98,0
40.7229,-73.9946,0
40.7621,-73.9862,3
40.7463,-73.9957,3
40.7212,-73.9936,0
40.7445,-73.9918,3
40.6616,-73.963,0
40.7705,-73.8656,1
40.7439,-73.9892,3
40.6947,-74.1778,2
40.6548,-73.9129,0
40.7311,-73.991,0
40.7325,-74.003,0
40.7201,-74.0016,0
40.7381,-74.0091,0
40.7685,-73.8625,1
40.7812,-73.9804,3
40.7422,-73.9828,3
40.7677,-73.981,3
40.7652,-73.9814,3
40.7571,-73.9621,3
40.645,-73.782,4
40.7638,-73.9748,3
40.7308,-74.0413,0
40.741,-73.9766,3
40.7395,-74.0028,0
40.7584,-73.9928,3
40.6913,-73.9955,0
40.7606,-73.9767,3
40.7497,-73.9816,3
40.727,-73.9965,0
40.7194,-74.0086,0
40.7685,-73.8628,1
40.7578,-73.9909,3
40.7372,-73.9989,0
40.7531,-73.9716,3
40.7479,-74.0077,0
40.7671,-73.9659,3
40.793,-73.9698,3
40.7591,-73.9921,3
40.6951,-74.1785,2
40.7353,-74.0053,0
40.7033,-74.0143,0
40.7642,-73.9543,3
40.7643,-73.9672,3
40.7646,-73.9805,3
40.7378,-73.9865,0
40.7256,-74.0054,0
40.69,-73.9923,0
40.7248,-74.0078,0
40.7502,-73.9885,3
40.7506,-74.0032,3
40.7176,-74.0107,0
40.7452,-73.9826,3
40.7216,-73.9885,0
40.7443,-73.9965,0
40.7312,-73.9858,0
40.7264,-73.9936,0
40.6918,-73.9221,0
40.7513,-74.0068,3
40.7411,-73.9767,3
40.7544,-73.9881,3
40.715,-73.9525,0
40.7672,-73.9645,3
40.7953,-73.9712,3
40.7146,-73.9432,0
40.7448,-73.9782,3
40.7715,-73.9528,3
40.6466,-73.7899,4
40.7555,-73.9751,3
40.7292,-74.0013,0
40.7156,-74.0157,0
40.6825,-73.9987,0
40.7457,-73.9721,3
40.7582,-73.9623,3
40.7399,-73.9813,0
40.7641,-73.9541,3
40.7586,-73.9925,3
40.7549,-73.9756,3
40.705,-73.9314,0
